,Department,Title,Course,Units,Description
1043,English,Style,76390,9.0,"Some people think of style as individual panachea graceful facility with language that is as distinctive to a given writer as his or her fingerprint. According to this theory, style is a possessiona genetic talent that can be cultivated by one but never duplicated by another. Those who lack this innate stylistic flair often look for ways to compensate. Unable to achieve aesthetic beauty, they strive to be grammatically correctto follow the rules of writing. In this class, we will not treat style as an innate gift that writers possess and carry with them from situation to situation. Nor will we treat style as a set of rules that one can live by. Instead, we will think of style as a set of strategic choices that one considers and selects from depending on the writing context. Certain stylistic choices appropriate to one context may not be appropriate to another. We cannotand will notlook at all possible writing contexts in this class. Instead, we will focus our attention on professional writing contexts in which the goal (presumably) is to communicate clearly and coherently in texts composed of sentences and paragraphs."
1044,English,Science Writing,76395,9.0,"This course will teach students how to write clear, well-organized, compelling articles about science, technology and health topics for a general audience. Students will learn how to carry out research on scientific topics using primary and secondary sources, how to conduct interviews, and how to organize that information in a logical fashion for presentation.For writing majors, the course will increase their understanding of scientific research and how to describe it accurately and completely to a general audience. For science majors, this course will teach them how to craft fluid, powerful prose so that they can bring their disciplines to life. The course is not intended just for those who want to become science writers, but for anyone who may have the need to explain technical information to a general audience, whether it is an engineer describing a green building project at a public hearingor a computer programmer describing new software to a firms marketing staff. Scientists and educators today are increasingly concerned about the publics lack of understanding about scientific principles and practices, and this course is one step toward remedying that deficit.Students will get a chance to read several examples of high-quality science writing and interview researchers, but the primary emphasis will be on writing a series of articles, and rewriting them after theyve been edited. The articles will range from profiles of scientists to explanations of how something works. In particular, this years class will focus on how science and society interact, whether that means the way that science affects marginalized communities or how scientific findings are shaped by ethical debates. Students should expect to see their writing critiqued in class, in a process similar to what journalists routinely go through. The goal will be clarity and verve; the ethos will be mutual learning and enjoyment."
1045,English,Instructional Text Design,76397,9.0,"This course focuses on the planning, writing, and evaluating of instruction of various kinds, especially instructional texts. It is particularly appropriate for professional and technical writers, but also a good option for anyone interested in fields that involve substantial instruction, such as teaching or employee training. In the first part of the course, well examine the recent history of instructional design and the major current theories. Then well take a step back and study the concepts of learning upon which these theories are based, with particular attention to their implications for how instruction is structured. Youll find that different learners (e.g., children, older adults) and goals (e.g., learning concepts and principles, learning to apply principles to solve novel problems, learning a procedure, learning to change ones behavior, etc.) require different types of instruction. In the second part of the course, well look in detail at models of how people learn from texts and what features (e.g., advanced organizers, examples, metaphors, illustrations, multimedia) enhance learning under what circumstances. We will study and analyze particular types of texts. Some possible examples include an introduction to the concept of gravity; a tutorial for computer software; a self-paced unit in French; adult educational materials in health care; a workshop on sexual harassment in the workplace; or a unit to train someone how to moderate a discussion. We will also look at various methods (concept mapping, think-aloud, comprehension tests, etc.) that are used to plan and evaluate instructional text. You will do a project, either individually or in a small group (2-3), in which you design, write and evaluate instruction."
1046,English,Mediated Power and Propaganda,76415,9.0,"For most of us, the word propaganda triggers a familiar script. We tend to think of totalitarian regimes where the State controls information and prohibits the expression of dissenting views. We also tend to associate propaganda with certain rhetorical techniques - highly emotional words, deceptive representations, and glittering generalities that inhibit rational thought and manipulate public opinion. According to such popular views, propaganda is linked to the dissemination of false information and is antithetical to the norms of democratic society. Our class will challenge these assumptions. First, instead of confining propaganda to authoritarian governments, we will examine how propaganda functions within democratic society. Indeed, we will focus on domestic propaganda in America, especially political propaganda but also propaganda in advertising and public relations. Next, instead of focusing exclusively on deceptive rhetorical techniques, we will ask a more elemental question"
1047,English,The Cognition of Reading and Writing: Introduction to a Social/Cognitive Process,76420,9.0,"Ever wondered how a reader is interpreting a text you wroteand how that compares to what you thought it said? Or how does your own process of writing that text compare to the problem-solving strategies experts draw upon? This course explores reading and writing as a social/cognitive processrevealing conscious and unconscious problem-solving strategies with which readers comprehend and interpret texts, and writers construct and communicate their meaning. To get at the why behind the surprising things readers do with a text, we will draw on the psychology of reading, where socially constructed memory networks, cognitive schemas, and meta-knowledge actively shape interpretation. To uncover readers interpretations, we put our knowledge to work trying out user-testing methods that help writers build effective audience-based presentations, applications, websites, or guides. We then take the same approach to writers as thinkers, examining the key problem-solving processes, from task representation, to planning, to revision, on which expert and novice writers often differ. Learning to track problem-solving through process tracing methods, will let you carry out two case studies of your own. The first will uncover the (sometimes radical) differences in how a small set of readers actually interpret a text you find significant. The second will be a case study of your own thinking process on a real task you are doing outside this class. Here you are likely to uncover old unconscious habits, problems you had to solve, as well as unrecognized successful strategies, giving you a new reflective insight into your own thinking as a writer. Freshmen prohibited from registering for this course. Sophomores must obtain instructor permission."
1048,English,Film Seminar: The Rise of the Art Film,76439,9.0,"The years between 1945 and 1970 saw an explosion of filmmaking talent around the world. Directors such as Vittorio De Sica (Italy), Jean-Luc Godard (France), Agnes Varda (France), Akira Kurosawa (Japan), Ingmar Bergman (Sweden) and Satyajit Ray (India) completely changed the way narratives looked on screen. Just as important, however, was the fact that American audiences used to the standards and storytelling strategies of the Hollywood studio system were suddenly presented with a variety of international cinemas which collectively came to be known as art films. This class will examine a broad cross section of such films while also scrutinizing the impact of the art film on Hollywood narrative strategies, domestic distribution networks, film criticism and American culture."
1049,English,"Law, Culture, and the Humanities",76450,9.0,"Im not a lawyer, but... How many times have you heard this disclaimer, closely followed by a lay analysis of law? This course, an introduction to the cultural study of law for graduate students and advanced undergraduate students, can be seen as an introduction to what goes into the making of such a statement. Where do we get our ideas about law? What do we mean when we say law? What counts as law? How does culture influence law, and law, culture? And to what degree should historical context condition any answers we might be tempted to give? Students in the course will study works in a range of genres (novels, plays, poems, judicial opinions, pamphlets) and develop methods for investigating ways that law and culture have been made by one another from the 16th-century to the present. Readings will include influential theoretical accounts of law (Aristotle, Hobbes, Cover, Habermas, Bordieu, MacKinnon, Alexander), canonical texts in Law and Literature (Shakespeares Measure for Measure, Melvilles Billy Budd, Kafkas The Trial) and some weird fiction by the novelist/legal theorist China Miville. As a counterpoint to the fiercely anti-historical law and economics movement, however, the course will put special emphasis on rooting intersections of law and culture in rich historical context, considering both local and international legal contexts (sometimes in fairly technical detail) alongside so-called ephemera of culture. Students will tackle the especially fruitful case of Renaissance Britain before developing final research projects, whether on the Renaissance or another period of their choosing."
1050,English,Independent Study in Film & Media Studies,76456,VAR,TBA
1051,English,Beginning Fiction Workshop,76460,9.0,TBD
1052,English,Advanced Fiction Workshop,76462,9.0,TBD
1053,English,Crime Fiction and Film,76467,9.0,"This course will be concerned with hardboiled crime fiction in print and on screen. The hardboiled emerges in Ernest Hemingway a distinctive literary style, and about same becomes a formula for pulp crime fiction. The language and attitude of the hardboiled became associated with urban gangsters in films such as The Public Enemy. Newspaper crime coverage beginning in the 1920s becomes increasingly frank in both its language and photographic coverage of crime. These various elements will be the material for a new kind of literature represented Dashiell Hammett, James M. Cain, and especially Raymond Chandler, and for a cycle of films that owe much to their work, film noir. Chandler was responsible for invention of one of most enduring types in American fiction, the hardboiled detective. The course will focus on Chandler and the crime stories after him that make various uses of that type and the formula that has become associated with it. Throughout the course we will consider the social and political contexts in which these cultural forms developed, and what cultural work the hard-boiled performed. We will be especially interested such questions as the function of the misogyny typical of much of it, the different representations of race by white and black artists, the representation of police, whether the hardboiled is best understood as having a working-class affiliation, and the degree to which its various manifestations might be called realist. NOTE"
1054,English,Screenwriting Workshop,76469,9.0,"We begin by examining the fundamental building blocks of television writing, reading scripts, writing scenes, and watching the best of the medium. We end with our students creating a full Spec Script for a one-hour television drama. Topics include"
1055,English,Software Documentation,76474,9.0,"This course teaches theory, techniques, and best practices for creating software documentation. We will learn to plan, architect, write, and publish audience-appropriate user assistance, while applying concepts and approaches like minimalism, topic-oriented authoring, single-source publishing, content reuse, and metadata. Students will complete homework assignments and larger projects to reinforce principles and provide experience in all phases of the software documentation lifecycle. Readings and class discussion will bridge theory and practice."
1056,English,Feminist Rhetorics,76480,9.0,"This course traces advances made in feminist rhetorics in the past three decades, paying particular attention to the intersection feminist rhetorics have with race, class, religion, sexuality, nationality, and/or disability. While much of early scholarship on feminist rhetorics dedicated itself to recovering the voices of women in history, since then scholars have expanded their focus to consider how gender interacts with the concerns of protest, law, health, medicine, war, politics, technology, migration, and the list goes on. Throughout this course, we will consider how feminist rhetorical scholars have 1) critiqued the discipline of rhetoric; 2) developed new methods useful for analyzing gender in a variety of contexts; and 3) expanded the scenes of rhetorical study. Readings will include (but are not limited to) canonical investigations into early feminist rhetorics (Karlyn Kohrs Campbell, Cheryl Glenn, Jacqueline Jones Royster), influential theories on contemporary topics (Karma Chvez, Robin Jensen, Raka Shome), and popular accounts of feminism by current writers and activists (Beyonc, Roxane Gay, Malala Yousafzai). Students will conduct their own research on a topic related to feminist rhetoric that also aligns with their professional and academic goals. Graduate students interested in research will benefit from this courses focus on theory and methodology and gain an understanding of the scholarly trajectory of feminist rhetoric. Undergraduates students (both majors and non-majors) will have the opportunity to examine how gender intersects with communication and writing contexts in their everyday public and professional lives. Please note"
1057,English,Web Design,76487,12.0,"The World Wide Web is a vast collection of information, far more than we can comfortably handle; even individual websites can pose so much information that they become overwhelming. In this client-facing, project-oriented class, we aim to look at ways to tackle this problem, and design content for the web that is easy to access and digest. We will look at how websites manage and present organized information, with an eye to understanding what works well. We will use methods to learn who is using a website and why, and develop our toolset to test our decisions when implementing a new design. Along the way, we will develop a familiarity with the core web technologies of HTML5 and CSS3, with discussion of graphics, sound, social media, and other tools to enrich our presence on the World Wide Web. Please note"
1058,English,Advanced Document & Information Design,76489,9.0,"This course builds on the foundation of visual communication design introduced in 76-391/791 Document Information Design, and provides students with opportunities to further develop and refine their skills. Students will work in teams to solve a larger and more complex communication planning and information design problem. Class discussions and critiquing are essential parts of this course. Adobe Creative Studio (InDesign, Photoshop, Illustrator) will be used to complete the assignments. Freshmen are prohibited from registering for this course. Sophomores must obtain instructor permission."
1059,English,MAPW Spring Internship,76701,9.0,None
1060,English,Professional Internship,76705,3-18,to be determined
1061,English,Editing and Publishing,76706,9-12,Note
1062,English,Independent Study in Professional Writing,76707,3-18,"An Independent Study course is a course taken with faculty supervision that goes beyond the courses offered in a particular area of interest. It should not duplicate a course offered in the regular schedule of classes. A student wishing to take an independent study needs to locate a faculty member whose research interests are close to the area of proposed study and meet with the faculty member to discuss whether it is something the faculty member is interested in doing. The department requires that the student and instructor submit a written contract (available in the English Department) detailing the expectations (description of course of study, readings, how often the student/faculty member will meet) and requirements for the completed independent study project (number length of papers) and a time-line for completion of the work. You should think of this as developing the equivalent of a detailed course syllabus/schedule, and typically involves development of a bibliography of readings."
1063,English,Literary Journal Publishing,76708,3-12,"In this course, students will learn about the landscape of and publication process for literary journals in the United States. We will read a variety of literary journals in print and online, will host guest speakers, and will do a variety of hands-on activities related to editing and publishing. Students will gain experience by working on The Oakland Review, an international literary journal run out of CMU, in capacities as varied as editorial, design and production, or promotion. If you are interested in registering for this course, please go to the Course URL and fill out the questionnaire. Thank you."
1064,English,Contemporary American Fiction,76717,VAR,"No one seems to know quite how to define contemporary American fiction. Its clear that fiction has changed since the 1960s and 70s, the heyday of postmodernism, but its not clear what exactly characterizes the work that has come since. In this course, we will read a selection of American fiction from the 1980s to the present and try to get a sense of its main lines. In particular well look at the turn to genre, the expansion to multicultural authors, and the return to realism. Also, we will consider how it relates to American society. Authors might include Chimamanda Ngozi Adichie, Junot Diaz, Jennifer Egan, Bret Easton Ellis, Jonathan Franzen, Chang-Rae Lee, Emily St. John Mandel, Gary Shteyngart, and Colson Whitehead."
1065,English,Performing Race in Early Modernity,76729,"9,12","The earliest known use of the term white in reference to Europeans occurs in The Triumphs of Truth, a 1613 play by Shakespeares contemporary, Thomas Middleton. In addition to suggesting an important connection between race and drama in 17th-century England, this simple historical note raises a range of questions that have a direct bearing on some of the most pressing issues of the 21st century"
1066,English,Critical Theories about Literature,76750,9-12,"This course studies the long-debated problem of how readers or spectators respond to texts (in print, performances, film, or painting) from ancient rhetoric and tragedy to contemporary mass culture.We will read in a range of critical theories, from thinkers like Aristotle, Plato, and Longinus to recent theorists in poststructuralism, gender studies, Marxism, and affect theory. How have such critics and theorists thought about the nature of the text and of representation--or the relation of authorship to reading, ideas, and affects? What techniques of analyzing literary texts have such theories stimulated? Two papers and vigorous in-class discussion will be required."
1067,English,Rhetorical Invention,76751,9-12,"Rhetorical invention is a discursive approach to the process of inquiry, discovery, and problem solving, or how we decide what to say, what arguments to advance, and what means of persuasion to use in any situation. In other words, it is a rhetorical approach to content generation in any speaking or writing situation. Although invention is centrally important to rhetoricwithout it rhetoric becomes a superficial and marginalized study of style and arrangementfrom the Scientific Revolution and Enlightenment through the mid-twentieth century invention all but disappeared as a topic of rhetorical study, influenced by the view that the content of communication should be exclusively governed by deductive logic and the scientific method rather than rhetorical considerations such as audience, situation, or the history and figurality of language. This repudiation of rhetorical invention fundamentally shaped modern thought and continues to influence the ways we think and communicate today. In this course, we examine the status of rhetorical invention in the development of modern thought and then attend to scholarly efforts to revive a rhetorical understanding of invention from the mid-twentieth century forward, surveying contemporary theories of rhetorical invention including those promoted by postmodern, posthuman, and digital rhetorics. The course is designed to explore the central importance of invention to contemporary rhetorical theory through a pairing of historical and contemporary readings. In addition to regular reading responses, students select a research project examining the history or theory of rhetorical invention."
1068,English,Watchdog Journalism,76754,"9,12","The practice of journalism involves covering the news of the day. Investigative journalism uncovers it, digging through public records and data to expose corruption or correct social injustices. The process takes patience and persistence, as well as familiarity with right-to-know laws, to find that gold nugget of information that exposes secrets or becomes the missing piece to a larger puzzle. In this course, students will learn investigative techniques that make the powerful accountable, using government documents, financial filings and databases to spot undetected crime patterns, an unfair housing policy or perhaps questionable spending by a non-profit charity. Investigative journalism has a storied history of exposing wrongdoing and today many of the tools historically used to tell those stories are available to everyone. This course will help budding journalists, researchers and anyone else interested in addressing societal problems find those tools and learn how to use them."
1069,English,Literary Journalism Workshop,76760,9.0,Normally Literary Journalism demands field work
1070,English,Argument,76773,"9,12","This course introduces the fundamentals of argumentation theory and offers guided practice in analyzing and producing arguments. Through analysis of real-world examples, we will learn what an argument is, how to identify one, and what the names and functions of a variety of argument features are. We will also explore the production of argument by pursuing the questions"
1071,English,Software Documentation,76774,9.0,"This course teaches theory, techniques, and best practices for creating software documentation. We will learn to plan, architect, write, and publish audience-appropriate user assistance, while applying concepts and approaches like minimalism, topic-oriented authoring, single-source publishing, content reuse, and metadata. Students will complete homework assignments and larger projects to reinforce principles and provide experience in all phases of the software documentation lifecycle. Readings and class discussion will bridge theory and practice."
1072,English,Methods in Humanities Analytics,76780,"9,12","The computer-aided analysis of text has become increasingly important to a variety of fields and the humanities is no exception, whether in the form of corpus linguistics, stylometrics, distant reading, or the digital humanities. In this course, we will build a methodological toolkit for computer-aided textual analysis. That toolkit will include methods for the collection data, its processing via off-the-shelf software and some simple code, as well as its analysis using a variety of statistical techniques. In doing so, the class offers students in the humanities the opportunity to put their expertise in qualitative analysis into conversation with more quantitative approaches, and those from more technically-oriented fields the opportunity to gain experience with the possibilities and pitfalls of working with language. The first part of the term will be devoted to introducing fundamental concepts and taking a birds eye view of their potential application in domains like academic writing, technical communication, and social media. From there, students will initiate projects of their own choosing and develop them over the course of the semester. The goal is to acquaint students with the strengths and limitations of computer-aided textual analysis and to provide them with the necessary foundational skills to design projects, to apply appropriate quantitative methods, and to report their results clearly and ethically to a variety of audiences. This class requires neither an advanced knowledge of statistics nor any previous coding experience, just a curiosity about language and the ways in which identifying patterns in language can help us solve problems and understand our world."
1073,English,Style,76790,"9,12","Some people think of style as individual panachea graceful facility with language that is as distinctive to a given writer as his or her fingerprint. According to this theory, style is a possessiona genetic talent that can be cultivated by one but never duplicated by another. Those who lack this innate stylistic flair often look for ways to compensate. Unable to achieve aesthetic beauty, they strive to be grammatically correctto follow the rules of writing. In this class, we will not treat style as an innate gift that writers possess and carry with them from situation to situation. Nor will we treat style as a set of rules that one can live by. Instead, we will think of style as a set of strategic choices that one considers and selects from depending on the writing context. Certain stylistic choices appropriate to one context may not be appropriate to another. We cannotand will notlook at all possible writing contexts in this class. Instead, we will focus our attention on professional writing contexts in which the goal (presumably) is to communicate clearly and coherently in texts composed of sentences and paragraphs."
1074,English,Science Writing,76795,9-12,"This course will teach students how to write clear, well-organized, compelling articles about science, technology and health topics for a general audience. Students will learn how to carry out research on scientific topics using primary and secondary sources, how to conduct interviews, and how to organize that information in a logical fashion for presentation.For writing majors, the course will increase their understanding of scientific research and how to describe it accurately and completely to a general audience. For science majors, this course will teach them how to craft fluid, powerful prose so that they can bring their disciplines to life. The course is not intended just for those who want to become science writers, but for anyone who may have the need to explain technical information to a general audience, whether it is an engineer describing a green building project at a public hearingor a computer programmer describing new software to a firms marketing staff. Scientists and educators today are increasingly concerned about the publics lack of understanding about scientific principles and practices, and this course is one step toward remedying that deficit.Students will get a chance to read several examples of high-quality science writing and interview researchers, but the primary emphasis will be on writing a series of articles, and rewriting them after theyve been edited. The articles will range from profiles of scientists to explanations of how something works. In particular, this years class will focus on how science and society interact, whether that means the way that science affects marginalized communities or how scientific findings are shaped by ethical debates. Students should expect to see their writing critiqued in class, in a process similar to what journalists routinely go through. The goal will be clarity and verve; the ethos will be mutual learning and enjoyment."
1075,English,Instructional Text Design,76797,9.0,"This course focuses on the planning, writing, and evaluating of instruction of various kinds, especially instructional texts. It is particularly appropriate for professional and technical writers, but also a good option for anyone interested in fields that involve substantial instruction, such as teaching or employee training. In the first part of the course, well examine the recent history of instructional design and the major current theories. Then well take a step back and study the concepts of learning upon which these theories are based, with particular attention to their implications for how instruction is structured. Youll find that different learners (e.g., children, older adults) and goals (e.g., learning concepts and principles, learning to apply principles to solve novel problems, learning a complex skill, learning to change ones behavior, etc.) require different types of instruction. In the second part of the course, well look in detail at models of how people learn from texts and what features (e.g., advanced organizers, examples, metaphors, illustrations, multimedia) enhance learning under what circumstances. We will study and analyze particular types of texts. Some possible examples include an introduction to the concept of gravity; a tutorial for computer software; a self-paced unit in French; adult educational materials in health care; a workshop on sexual harassment in the workplace; or a unit to train someone how to moderate a discussion. We will also look at various methods (concept mapping, think-aloud, comprehension tests, etc.) that are used to plan and evaluate instructional text. You will do a project, either individually or in a small group (2-3), in which you design, write and evaluate instruction."
1076,English,Directed Research in Rhetoric,76800,3-18,TBD
1077,English,Directed Study in Literary and Cultural Studies,76801,3-18,None
1078,English,Directed Study II,76802,3-18,None
1079,English,Mediated Power and Propaganda,76815,12.0,"For most of us, the word propaganda triggers a familiar script. We tend to think of totalitarian regimes where the State controls information and prohibits the expression of dissenting views. We also tend to associate propaganda with certain rhetorical techniques - highly emotional words, deceptive representations, and glittering generalities that inhibit rational thought and manipulate public opinion. According to such popular views, propaganda is linked to the dissemination of false information and is antithetical to the norms of democratic society. Our class will challenge these assumptions. First, instead of confining propaganda to authoritarian governments, we will examine how propaganda functions within democratic society. Indeed, we will focus on domestic propaganda in America, especially political propaganda but also propaganda in advertising and public relations. Next, instead of focusing exclusively on deceptive rhetorical techniques, we will ask a more elemental question"
1080,English,The Cognition of Reading and Writing: Introduction to a Social/Cognitive Process,76820,"9,12","Ever wondered how a reader is interpreting a text you wroteand how that compares to what you thought it said? Or how does your own process of writing that text compare to the problem-solving strategies experts draw upon? This course explores reading and writing as a social/cognitive processrevealing conscious and unconscious problem-solving strategies with which readers comprehend and interpret texts, and writers construct and communicate their meaning. To get at the why behind the surprising things readers do with a text, we will draw on the psychology of reading, where socially constructed memory networks, cognitive schemas, and meta-knowledge actively shape interpretation. To uncover readers interpretations, we put our knowledge to work trying out user-testing methods that help writers build effective audience-based presentations, applications, websites, or guides. We then take the same approach to writers as thinkers, examining the key problem-solving processes, from task representation, to planning, to revision, on which expert and novice writers often differ. Learning to track problem-solving through process tracing methods, will let you carry out two case studies of your own. The first will uncover the (sometimes radical) differences in how a small set of readers actually interpret a text you find significant. The second will be a case study of your own thinking process on a real task you are doing outside this class. Here you are likely to uncover old unconscious habits, problems you had to solve, as well as unrecognized successful strategies, giving you a new reflective insight into your own thinking as a writer."
1081,English,Intro to Gender and Sexuality Studies,76822,6.0,TBD
1082,English,Theory and Design of Writing Instruction,76824,"9,12",This course introduces prospective and developing teachers to the most meaningful questions we can ask from the writing classroom
1083,English,"Law, Culture, and the Humanities",76850,"9,12","Im not a lawyer, but... How many times have you heard this disclaimer, closely followed by a lay analysis of law? This course, an introduction to the cultural study of law for graduate students and advanced undergraduate students, can be seen as an introduction to what goes into the making of such a statement. Where do we get our ideas about law? What do we mean when we say law? What counts as law? How does culture influence law, and law, culture? And to what degree should historical context condition any answers we might be tempted to give? Students in the course will study works in a range of genres (novels, plays, poems, judicial opinions, pamphlets) and develop methods for investigating ways that law and culture have been made by one another from the 16th-century to the present. Readings will include influential theoretical accounts of law (Aristotle, Hobbes, Cover, Habermas, Bordieu, MacKinnon, Alexander), canonical texts in Law and Literature (Shakespeares Measure for Measure, Melvilles Billy Budd, Kafkas The Trial) and some weird fiction by the novelist/legal theorist China Miville. As a counterpoint to the fiercely anti-historical law and economics movement, however, the course will put special emphasis on rooting intersections of law and culture in rich historical context, considering both local and international legal contexts (sometimes in fairly technical detail) alongside so-called ephemera of culture. Students will tackle the especially fruitful case of Renaissance Britain before developing final research projects, whether on the Renaissance or another period of their choosing."
1084,English,Crime Fiction and Film,76867,12.0,"This course will be concerned with hardboiled crime fiction in print and on screen. The hardboiled emerges in Ernest Hemingway a distinctive literary style, and about same becomes a formula for pulp crime fiction. The language and attitude of the hardboiled became associated with urban gangsters in films such as The Public Enemy. Newspaper crime coverage beginning in the 1920s becomes increasingly frank in both its language and photographic coverage of crime. These various elements will be the material for a new kind of literature represented Dashiell Hammett, James M. Cain, and especially Raymond Chandler, and for a cycle of films that owe much to their work, film noir. Chandler was responsible for invention of one of most enduring types in American fiction, the hardboiled detective. The course will focus on Chandler and the crime stories after him that make various uses of that type and the formula that has become associated with it. Throughout the course we will consider the social and political contexts in which these cultural forms developed, and what cultural work the hard-boiled performed. We will be especially interested such questions as the function of the misogyny typical of much of it, the different representations of race by white and black artists, the representation of police, whether the hardboiled is best understood as having a working-class affiliation, and the degree to which its various manifestations might be called realist."
1085,English,Feminist Rhetorics,76880,"9,12","This course traces advances made in feminist rhetorics in the past three decades, paying particular attention to the intersection feminist rhetorics have with race, class, religion, sexuality, nationality, and/or disability. While much of early scholarship on feminist rhetorics dedicated itself to recovering the voices of women in history, since then scholars have expanded their focus to consider how gender interacts with the concerns of protest, law, health, medicine, war, politics, technology, migration, and the list goes on. Throughout this course, we will consider how feminist rhetorical scholars have 1) critiqued the discipline of rhetoric; 2) developed new methods useful for analyzing gender in a variety of contexts; and 3) expanded the scenes of rhetorical study. Readings will include (but are not limited to) canonical investigations into early feminist rhetorics (Karlyn Kohrs Campbell, Cheryl Glenn, Jacqueline Jones Royster), influential theories on contemporary topics (Karma Chvez, Robin Jensen, Raka Shome), and popular accounts of feminism by current writers and activists (Beyonc, Roxane Gay, Malala Yousafzai). Students will conduct their own research on a topic related to feminist rhetoric that also aligns with their professional and academic goals. Graduate students interested in research will benefit from this courses focus on theory and methodology and gain an understanding of the scholarly trajectory of feminist rhetoric. Undergraduates students (both majors and non-majors) will have the opportunity to examine how gender intersects with communication and writing contexts in their everyday public and professional lives."
1086,English,Web Design,76887,12.0,"The World Wide Web is a vast collection of information, far more than we can comfortably handle; even individual websites can pose so much information that they become overwhelming. In this client-facing, project-oriented class, we aim to look at ways to tackle this problem, and design content for the web that is easy to access and digest. We will look at how websites manage and present organized information, with an eye to understanding what works well. We will use methods to learn who is using a website and why, and develop our toolset to test our decisions when implementing a new design. Along the way, we will develop a familiarity with the core web technologies of HTML5 and CSS3, with discussion of graphics, sound, social media, and other tools to enrich our presence on the World Wide Web."
1087,English,Advanced Document & Information Design,76889,9.0,"This course builds on the foundation of visual communication design introduced in 76-391/791 Document Information Design, and provides students with opportunities to further develop and refine their skills. Students will work in teams to solve a larger and more complex communication planning and information design problem. Class discussions and critiquing are essential parts of this course. Adobe Creative Studio (InDesign, Photoshop, Illustrator) will be used to complete the assignments."
1088,English,Introduction to Global & Postcolonial Studies,76893,6.0,"Since the 1978 publication of Edward Saids groundbreaking work Orientalism, postcolonial theory has gained currency as a critical discourse examining global experiences of colonization and decolonization. Since the term postcolonial was first invoked to describe the cultural effects of colonization, the field of study has expanded considerably. Today postcolonial studies looks backwards at earlier works on nationalism and cultural identity, gazes forwards towards seemingly dire futures, and unpacks present conjunctures. In this course, we will follow several threads of postcolonial theory to talk about the discursive operations of empire, the politics of representations, the problems of nationalism, the intersections of race, gender and sexuality in a global context, and the effects of colonialism, imperialism and globalization on economies, ecology, climate, and migration."
1089,English,Introduction to Media Studies,76899,6.0,"In this mini we will look at contemporary mass media from an aesthetic, ideological, and economic point of new. Well read media theory texts by Marx, Frederic Jameson, Raymond Williams, Theodor Adorno, Keeanga-Yamahtta Taylor, Kimberly Crenshaw, Judith Butler, and several others."
1090,English,Independent Study in Rhetoric,76900,3-18,"An Independent Study course is a course taken with faculty supervision that goes beyond the courses offered in a particular area of interest. It should not duplicate a course offered in the regular schedule of classes. A student wishing to take an independent study needs to locate a faculty member whose research interests are close to the area of proposed study and meet with the faculty member to discuss whether it is something the faculty member is interested in doing. The department requires that the student and instructor submit a written contract (available in the English Department) detailing the expectations (description of course of study, readings, how often the student/faculty member will meet) and requirements for the completed independent study project (number length of papers) and a time-line for completion of the work. You should think of this as developing the equivalent of a detailed course syllabus/schedule, and typically involves development of a bibliography of readings."
1091,English,Independent Study in Literary and Cultural Studies,76901,3-18,None
1092,English,Readings in Literature,76910,3-18,None
1093,English,Directed Reading,76911,12.0,None
1094,English,PHD/R Pre-Dissertation Prospectus,76921,5-36,No course description provided.
1095,English,PHD/R Dissertation Writing,76922,5-36,None
1096,English,PHD/LCS Dissertation Prospectus,76924,5-36,None
1097,English,PHD/LCS Dissertation Writing,76925,5-36,None
1098,Entertainment Technology Pittsburgh,Guest Experience in Theme Park Design,53312,9.0,"Students will research the history of the Themed Entertainment Industry and study key phases including conceptualization, design, building, management and delivery involved in creating the total themed entertainment experience. The class will focus on the importance of creating the total guest experience. Discussions on story and storytelling will address the different aspects of both franchise and original stories. The class will also examine the role of architecture and technology and how they are crafted to enhance the overall guest experience. The importance of communication and collaboration across all disciplines and the high professional standards required in every phase in the entertainment industry will be explored. The process of managing creativity, risking taking, fostering a culture of team support and trust, developing presentation skills and providing valuable peer-review will all be part of the curriculum. Students will individually complete a variety of short assignment, research and presentations. Students will also work in teams made up of various disciplines and backgrounds. Assignments will include evaluation of experiences in existing theme parks; proposing a concept for a ride or experience deriving inspiration from a list of options provided by faculty; and developing a design project such as an expansion to an existing theme park, a new restaurant, hotel or other architecture added to an existing complex, a new event or attraction which would include a water, sound and light spectacle or a large scale ?Disney? parade event. Students and faculty will jointly choose design assignments based on the needs, interest and composition of the class. The constantly evolving nature of the industry will provide opportunities for topics of discussion which will be identified by both faculty and students. Graduate students register for 53613"
